Code;Code à Bar;Désignation;Stock;Famille;Marque;Prix Achat HT;MB%;TVA;PventeTTC;Pvente Pub HT;Code Frs;Code Frs;Intitulé Frs;Date Creation;Date Modification;Remise_Fidelite;Dernière PUHT;Dernière remise
003005004;7909990000881;BROWNIE MOULIN DOR 30PC;0,000;CAKE;MOULIN DOR;19,500;5,128;0,000;20,500;20,500;;;;03/11/2023;11/11/2023;0,000;;
003005005;7909990000898;BLANDIZ MOULIN DOR 30PC;0,000;CAKE;MOULIN DOR;19,500;5,128;0,000;20,500;20,500;;;;03/11/2023;11/11/2023;0,000;;
003005006;7909990000904;MINI CAKE MOALIN DOR 30PC;0,000;CAKE;MOULIN DOR;12,800;7,813;0,000;13,800;13,800;;;;03/11/2023;11/11/2023;0,000;;
003005007;7909990000911;ROLLO CAKE MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;17,000;5,882;0,000;18,000;18,000;;;;03/11/2023;11/11/2023;0,000;;
003005008;7909990000928;TARTE AMANDE MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005009;7909990000935;TARTE FRAISE MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005010;7909990000942;TARTE ABRICO MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005011;7909990000959;TARTE POMME MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005012;7909990000966;TARTE FIGUE MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005013;7909990001123;DONUTS CHOCOLAT MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005014;7909990001130;DONUTS TOUT CHOCOLAT MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005015;7909990001147;DONUTS FRAISE MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003005016;7909990001154;DONUTS VANILLE MOULIN DOR 24PC;0,000;CAKE;MOULIN DOR;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003006001;7909990000980;FOURRE CHOCOLAT KIF 20PC;0,000;BISCUITS;KIF;21,370;8,139;19,000;27,500;23,109;;;;03/11/2023;11/11/2023;0,000;;
003006002;7909990001000;TIGATO CHOCOLAT KIF 20PC;0,000;BISCUITS;KIF;23,647;7,676;19,000;30,300;25,462;;;;03/11/2023;11/11/2023;0,000;;
003007001;7909990001161;MUFFIN CHOCOLAT DAILYN 36PC ;0,000;CAKE;DAILYN;20,500;4,878;0,000;21,500;21,500;;;;03/11/2023;11/11/2023;0,000;;
003007002;7909990001178;BAROWNIE DAILYN 30PC;0,000;CAKE;DAILYN;19,950;5,263;0,000;21,000;21,000;;;;03/11/2023;11/11/2023;0,000;;
003007003;7909990001185;TARTE DAILYN 24PC;0,000;CAKE;DAILYN;15,500;6,452;0,000;16,500;16,500;;;;03/11/2023;11/11/2023;0,000;;
003007004;7909990001192;TCM DAILYN 30PC;0,000;CAKE;DAILYN;14,500;9,655;0,000;15,900;15,900;;;;03/11/2023;11/11/2023;0,000;;
003010001;7909990003738;TCM CAKE LE PATISSIER 24PC;0,000;CAKE;LA PATISSIERE;10,840;15,314;0,000;12,500;12,500;;;;09/11/2023;11/11/2023;0,000;;
003010002;7909990003745;MINI CAKE JOJO LE PATISSIER 50PC;0,000;CAKE;LA PATISSIERE;20,000;10,000;0,000;22,000;22,000;;;;09/11/2023;11/11/2023;0,000;;
003010003;7909990003752;GROPAGE MUFFIN PEPIT CHOC LE PATISSIER 8PC;0,000;CAKE;LA PATISSIERE;24,500;10,204;0,000;27,000;27,000;;;;09/11/2023;11/11/2023;0,000;;
003010004;7909990003769;GROPAGE MUFFIN VANILLE LE PATISSIER 8PC;0,000;CAKE;LA PATISSIERE;22,500;11,111;0,000;25,000;25,000;;;;09/11/2023;11/11/2023;0,000;;
